quality,Id
5,0
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
5,10
6,11
6,12
6,13
6,14
5,15
6,16
5,17
5,18
6,19
6,20
6,21
6,22
6,23
5,24
6,25
6,26
6,27
6,28
6,29
5,30
6,31
5,32
5,33
6,34
6,35
6,36
6,37
6,38
5,39
6,40
6,41
6,42
6,43
6,44
6,45
5,46
5,47
6,48
6,49
5,50
6,51
6,52
6,53
6,54
6,55
6,56
5,57
6,58
6,59
6,60
6,61
5,62
6,63
6,64
6,65
6,66
6,67
6,68
5,69
6,70
5,71
6,72
5,73
6,74
6,75
6,76
5,77
5,78
5,79
5,80
5,81
6,82
5,83
6,84
6,85
5,86
6,87
6,88
6,89
6,90
6,91
6,92
5,93
5,94
6,95
6,96
6,97
6,98
6,99
6,100
6,101
5,102
6,103
6,104
5,105
6,106
6,107
6,108
6,109
6,110
5,111
6,112
5,113
6,114
5,115
6,116
6,117
6,118
5,119
6,120
6,121
5,122
6,123
6,124
5,125
6,126
6,127
5,128
6,129
6,130
6,131
5,132
6,133
6,134
6,135
6,136
6,137
5,138
6,139
5,140
6,141
5,142
6,143
5,144
6,145
6,146
6,147
5,148
5,149
6,150
6,151
5,152
6,153
6,154
6,155
6,156
6,157
6,158
6,159
5,160
6,161
6,162
6,163
6,164
6,165
6,166
6,167
5,168
6,169
6,170
6,171
6,172
6,173
5,174
5,175
6,176
5,177
6,178
6,179
6,180
6,181
5,182
5,183
5,184
6,185
5,186
6,187
6,188
6,189
5,190
6,191
6,192
6,193
5,194
6,195
5,196
6,197
6,198
6,199
5,200
6,201
6,202
6,203
5,204
5,205
6,206
5,207
5,208
6,209
6,210
6,211
6,212
6,213
6,214
6,215
5,216
6,217
5,218
5,219
6,220
5,221
6,222
6,223
6,224
6,225
6,226
5,227
6,228
6,229
6,230
6,231
6,232
6,233
6,234
6,235
6,236
5,237
6,238
6,239
6,240
6,241
6,242
6,243
6,244
5,245
6,246
6,247
6,248
6,249
5,250
6,251
5,252
5,253
5,254
6,255
6,256
5,257
6,258
6,259
6,260
6,261
6,262
6,263
6,264
6,265
6,266
6,267
6,268
5,269
5,270
6,271
5,272
5,273
6,274
6,275
5,276
6,277
6,278
6,279
5,280
6,281
6,282
5,283
5,284
6,285
6,286
5,287
6,288
6,289
6,290
6,291
6,292
6,293
6,294
5,295
6,296
6,297
6,298
6,299
6,300
6,301
6,302
6,303
5,304
6,305
6,306
6,307
6,308
6,309
6,310
6,311
6,312
6,313
5,314
6,315
6,316
6,317
6,318
5,319
6,320
6,321
6,322
6,323
5,324
5,325
6,326
6,327
6,328
6,329
6,330
6,331
5,332
6,333
5,334
6,335
6,336
6,337
6,338
6,339
6,340
6,341
5,342
6,343
6,344
6,345
6,346
5,347
6,348
5,349
6,350
6,351
6,352
6,353
6,354
6,355
6,356
6,357
6,358
6,359
6,360
6,361
6,362
6,363
6,364
6,365
5,366
5,367
6,368
6,369
6,370
6,371
6,372
6,373
5,374
6,375
6,376
6,377
6,378
5,379
6,380
5,381
6,382
6,383
6,384
6,385
6,386
5,387
6,388
5,389
5,390
6,391
6,392
5,393
6,394
5,395
6,396
6,397
6,398
6,399
5,400
6,401
6,402
6,403
5,404
6,405
6,406
5,407
5,408
6,409
5,410
6,411
5,412
6,413
6,414
6,415
5,416
5,417
6,418
6,419
6,420
5,421
6,422
6,423
6,424
6,425
6,426
5,427
5,428
6,429
6,430
6,431
6,432
5,433
5,434
6,435
6,436
6,437
6,438
6,439
5,440
6,441
6,442
6,443
5,444
5,445
5,446
6,447
5,448
5,449
5,450
6,451
6,452
6,453
6,454
6,455
5,456
5,457
6,458
6,459
6,460
6,461
5,462
6,463
6,464
6,465
5,466
6,467
5,468
6,469
6,470
6,471
6,472
6,473
6,474
5,475
5,476
6,477
5,478
5,479
6,480
6,481
6,482
5,483
5,484
5,485
6,486
5,487
6,488
5,489
5,490
6,491
6,492
6,493
6,494
5,495
5,496
6,497
6,498
6,499
5,500
5,501
6,502
6,503
6,504
6,505
6,506
6,507
5,508
6,509
5,510
6,511
6,512
6,513
6,514
6,515
6,516
6,517
6,518
5,519
6,520
5,521
6,522
6,523
6,524
5,525
6,526
6,527
6,528
5,529
5,530
5,531
6,532
5,533
5,534
6,535
6,536
6,537
6,538
5,539
6,540
6,541
5,542
6,543
6,544
6,545
6,546
6,547
6,548
6,549
5,550
6,551
6,552
5,553
6,554
5,555
6,556
5,557
5,558
6,559
6,560
6,561
6,562
6,563
5,564
6,565
6,566
5,567
5,568
5,569
5,570
6,571
5,572
6,573
6,574
6,575
6,576
5,577
6,578
6,579
5,580
6,581
5,582
6,583
5,584
6,585
6,586
5,587
5,588
5,589
6,590
6,591
5,592
6,593
5,594
5,595
5,596
5,597
6,598
6,599
5,600
6,601
5,602
5,603
6,604
5,605
6,606
6,607
6,608
6,609
6,610
6,611
6,612
5,613
6,614
6,615
6,616
6,617
6,618
6,619
6,620
6,621
5,622
6,623
5,624
6,625
6,626
5,627
6,628
6,629
6,630
5,631
5,632
6,633
5,634
6,635
6,636
5,637
5,638
6,639
5,640
6,641
5,642
5,643
5,644
6,645
6,646
6,647
6,648
6,649
6,650
6,651
5,652
6,653
6,654
6,655
6,656
6,657
6,658
6,659
6,660
5,661
5,662
6,663
5,664
5,665
6,666
6,667
6,668
6,669
5,670
6,671
6,672
5,673
6,674
6,675
6,676
5,677
5,678
6,679
6,680
5,681
6,682
6,683
6,684
6,685
6,686
6,687
5,688
6,689
6,690
5,691
6,692
6,693
5,694
6,695
6,696
6,697
6,698
6,699
6,700
5,701
